s,v
0,217
1,141
0,140
1,205
1,309
1,336
1,318
1,159
1,109
1,52
0,363
0,89
0,235
1,188
1,196
1,182
1,118
1,32
1,177
0,162
1,46
0,259
0,60
1,6
1,287
1,45
1,252
1,16
0,337
1,2
0,306
0,267
0,214
0,183
1,222
0,75
0,130
1,319
0,11
1,210
0,25
0,113
0,359
0,234
0,302
1,107
0,264
1,79
1,213
1,303
0,188
0,260
1,257
0,343
1,240
0,31
0,173
1,217
1,326
0,90
1,311
1,333
0,334
1,229
0,172
1,335
1,313
0,143
0,136
0,86
1,57
1,23
1,201
0,48
0,271
0,248
1,232
0,49
1,302
0,204
0,177
0,277
0,308
1,206
1,99
1,230
0,328
1,31
0,346
1,285
1,236
0,333
0,119
0,81
0,2
1,233
1,133
1,67
0,310
0,15
0,347
1,115
1,152
0,142
1,348
1,185
0,176
1,131
0,164
0,215
0,370
1,58
1,269
1,68
0,289
0,85
1,150
0,236
0,221
1,168
1,293
1,71
1,62
1,295
1,70
0,261
1,279
1,112
0,32
0,4
0,242
1,244
1,275
0,174
0,38
0,237
1,312
1,123
1,92
1,204
1,105
1,289
0,199
0,155
0,157
1,307
0,106
0,92
1,278
1,60
1,294
0,189
0,225
0,318
1,362
0,131
1,340
0,88
1,280
1,3
1,371
1,36
0,151
0,84
0,167
0,95
0,76
0,69
0,135
1,370
0,70
0,351
1,262
0,87
1,51
0,5
0,98
0,100
0,120
1,55
1,34
0,187
1,165
1,30
1,157
1,330
1,136
1,212
0,125
1,137
1,134
0,72
1,170
1,87
0,321
0,272
0,33
1,28
0,34
0,300
0,252
1,349
0,7
0,281
1,54
1,256
0,358
0,205
1,305
0,191
0,206
0,226
0,209
0,258
0,82
1,266
0,66
1,197
0,222
0,182
1,12
0,158
1,73
1,284
0,345
1,315
0,53
0,283
0,179
0,329
1,247
1,10
0,207
1,146
1,127
0,61
0,229
0,68
0,287
1,226
1,339
0,184
0,314
0,352
1,24
0,20
0,165
1,37
0,331
0,133
0,322
1,320
0,344
1,218
0,194
0,244
0,43
1,237
1,341
0,52
1,353
1,169
1,122
0,139
0,369
1,242
0,243
1,259
1,180
0,116
1,323
1,263
0,78
1,357
1,268
0,251
0,365
1,27
1,246
0,41
0,114
1,0
1,365
0,241
0,250
0,278
1,84
1,203
1,110
0,266
1,265
0,26
1,249
0,17
0,192
0,274
0,292
1,332
0,93
1,44
1,223
0,104
0,146
1,167
0,163
1,338
0,317
0,298
1,192
1,250
1,215
1,9
0,138
0,238
1,101
0,327
0,168
0,115
0,147
1,153
1,208
0,350
1,364
1,277
1,202
0,107
0,303
0,223
0,316
1,337
1,145
1,245
1,102
1,108
0,335
1,352
1,350
0,19
0,171
0,224
1,355
0,293
0,12
1,198
1,227
0,59
0,108
1,18
0,65
0,181
1,82
1,194
1,155
0,39
0,282
0,299
0,154
0,285
0,364
0,91
1,354
0,13
0,40
1,200
1,120
1,74
0,291
0,1
0,14
1,111
1,286
1,69
1,254
1,97
0,149
0,56
0,367
1,144
0,324
1,83
1,304
0,128
0,23
0,77
0,354
0,231
1,132
1,26
0,311
1,166
1,297
0,8
0,24
0,193
1,117
1,96
1,138
0,166
1,156
0,309
1,195
1,368
0,169
0,10
0,185
1,13
1,360
1,345
0,213
1,29
0,42
1,126
1,290
0,356
1,158
0,99
0,219
1,239
0,270
0,145
0,276
1,367
1,47
0,50
1,325
1,351
0,80
0,361
1,160
0,342
0,255
0,178
1,76
1,14
0,196
0,21
0,121
0,124
0,103
0,273
1,175
0,216
0,22
0,366
0,288
1,358
0,211
1,148
0,74
1,161
0,186
0,197
0,247
0,94
1,191
1,199
1,174
0,180
1,301
0,73
0,64
0,129
0,63
0,228
1,35
1,322
0,190
1,253
0,249
0,218
1,220
1,296
